n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=2)
94  | 0.430      | 7.04532889e+09 | 6.56752353e+09 | 0.9322         | True
95  | 0.450      | 2.08800092e+10 | 1.93610951e+10 | 0.9273         | True
96  | 0.270      | 7.31920246e+07 | 8.24686372e+07 | 1.1267         | False
97  | 0.550      | 1.09123408e+11 | 9.44897643e+10 | 0.8659         | True
98  | 0.690      | 4.11550182e+12 | 4.59684674e+12 | 1.1170         | False
99  | 0.540      | 1.44793397e+11 | 1.32385310e+11 | 0.9143         | True
100 | 0.090      | 35385.9154     | 52295.5181     | 1.4779         | False
101 | 0.710      | 9.43436236e+12 | 1.16216877e+13 | 1.2318         | False
102 | 0.480      | 6.40303117e+10 | 6.79073097e+10 | 1.0605         | False
n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=15)
--------------------------------------------------------------------------------
2   | 2.000      | 2.87737305e+08 | 5.31779782e+07 | 0.1848         | True
3   | 2.000      | 4.45495364e+10 | 4.01106221e+08 | 0.0090         | True
4   | 1.220      | 1.99241288e+07 | 1188968.5155   | 0.0597         | True
5   | 0.200      | 717.1821       | 405.9516       | 0.5660         | True
6   | 1.880      | 2.92602611e+11 | 7.17454237e+10 | 0.2452         | True
7   | 0.850      | 4.70750899e+07 | 4.14686017e+07 | 0.8809         | True
8   | 1.860      | 5.98687383e+13 | 5.74745020e+11 | 0.0096         | True
9   | 1.570      | 3.33794032e+12 | 5.33718414e+11 | 0.1599         | True
10  | 1.740      | 7.00154834e+12 | 4.19855458e+12 | 0.5997         | True
11  | 0.270      | 36728.8675     | 32468.7703     | 0.8840         | True
12  | 1.220      | 5.51056131e+11 | 1.93611364e+11 | 0.3513         | True
13  | 1.110      | 1.21015248e+11 | 1.01261162e+10 | 0.0837         | True
14  | 0.930      | 4.81814080e+10 | 1.06987484e+10 | 0.2221         | True
15  | 0.590      | 5.01095447e+08 | 5.50932712e+08 | 1.0995         | False
16  | 0.160      | 11524.1221     | 9779.3637      | 0.8486         | True
17  | 1.140      | 5.60083401e+12 | 1.27115636e+12 | 0.2270         | True
18  | 1.920      | 4.28034344e+15 | 2.85554928e+14 | 0.0667         | True
19  | 0.200      | 87211.1134     | 84191.0869     | 0.9654         | True
20  | 0.280      | 555030.2040    | 516833.8014    | 0.9312         | True
21  | 0.080      | 853.4551       | 1149.1363      | 1.3465         | False
22  | 0.170      | 22873.3231     | 23300.4660     | 1.0187         | False
23  | 0.640      | 4.64096600e+09 | 3.66296593e+09 | 0.7893         | True
24  | 0.080      | 1510.4052      | 1934.9767      | 1.2811         | False
25  | 0.290      | 4367858.0129   | 3966287.3462   | 0.9081         | True
26  | 0.660      | 2.78538013e+10 | 2.71579340e+10 | 0.9750         | True
27  | 0.110      | 7021.2328      | 7301.5243      | 1.0399         | False
28  | 0.080      | 1447.6777      | 2198.6444      | 1.5187         | False
29  | 0.240      | 976206.3851    | 952771.1112    | 0.9760         | True
30  | 0.960      | 1.44076050e+13 | 4.42309825e+12 | 0.3070         | True
31  | 0.880      | 1.61337492e+12 | 1.49325668e+12 | 0.9255         | True
32  | 0.870      | 4.00850733e+12 | 4.05095503e+12 | 1.0106         | False
33  | 0.700      | 9.03501601e+10 | 9.30097395e+10 | 1.0294         | False
34  | 0.730      | 1.94158446e+11 | 5.81391828e+10 | 0.2994         | True
35  | 0.920      | 2.23142035e+12 | 1.50807818e+12 | 0.6758         | True
36  | 0.860      | 3.28042592e+12 | 3.32415498e+12 | 1.0133         | False
37  | 0.580      | 9.36336314e+09 | 7.23012831e+09 | 0.7722         | True
38  | 0.080      | 3731.5785      | 4890.6975      | 1.3106         | False
39  | 0.160      | 157972.4402    | 149990.2186    | 0.9495         | True
40  | 0.710      | 3.23681395e+11 | 3.03583251e+11 | 0.9379         | True
41  | 0.540      | 1.18124083e+10 | 9.81687403e+09 | 0.8311         | True
42  | 0.670      | 4.20832610e+11 | 3.74455396e+11 | 0.8898         | True
43  | 0.660      | 3.42729988e+11 | 3.28041262e+11 | 0.9571         | True
44  | 0.920      | 2.98488515e+13 | 5.67325996e+12 | 0.1901         | True
45  | 0.790      | 3.88828341e+12 | 3.34307338e+12 | 0.8598         | True
46  | 0.300      | 4.94630197e+07 | 4.41632368e+07 | 0.8929         | True
47  | 0.070      | 3347.9816      | 4483.8077      | 1.3393         | False
48  | 0.600      | 2.63949704e+11 | 9.11832448e+10 | 0.3455         | True
49  | 0.790      | 1.34531976e+13 | 1.39055073e+13 | 1.0336         | False
50  | 0.730      | 7.86533763e+11 | 8.68947384e+11 | 1.1048         | False
51  | 0.590      | 1.51529289e+11 | 1.58644129e+11 | 1.0470         | False
52  | 0.740      | 3.05506516e+12 | 2.52282727e+12 | 0.8258         | True
53  | 0.280      | 3.33707069e+07 | 3.35306048e+07 | 1.0048         | False
54  | 0.440      | 1.03270346e+10 | 1.27206352e+10 | 1.2318         | False
55  | 0.590      | 2.02372682e+11 | 1.20136427e+11 | 0.5936         | True
56  | 0.710      | 5.50144463e+12 | 6.09115702e+12 | 1.1072         | False
57  | 0.620      | 1.36517338e+12 | 7.08980999e+11 | 0.5193         | True
58  | 0.910      | 1.20628207e+14 | 1.36649755e+14 | 1.1328         | False
59  | 0.770      | 7.23844806e+12 | 6.92069798e+12 | 0.9561         | True
60  | 0.480      | 4.49898097e+10 | 3.11723813e+10 | 0.6929         | True
61  | 0.570      | 1.93799231e+11 | 1.60391554e+11 | 0.8276         | True
62  | 0.510      | 5.59563302e+10 | 7.32656027e+10 | 1.3093         | False
63  | 0.750      | 7.88856169e+12 | 8.55613041e+12 | 1.0846         | False
64  | 0.530      | 9.56165061e+10 | 9.51241529e+10 | 0.9949         | True
65  | 0.550      | 1.46270290e+11 | 1.07123804e+11 | 0.7324         | True
66  | 0.610      | 1.34815010e+12 | 1.65775719e+12 | 1.2297         | False
67  | 0.510      | 1.38099599e+11 | 1.12025367e+11 | 0.8112         | True
68  | 0.900      | 1.07259042e+14 | 3.85705200e+13 | 0.3596         | True
69  | 0.620      | 8.38522547e+11 | 8.95047432e+11 | 1.0674         | False
70  | 0.090      | 21432.3118     | 31652.9561     | 1.4769         | False
71  | 0.350      | 6.44076476e+08 | 7.43425126e+08 | 1.1542         | False
72  | 0.580      | 2.75892168e+11 | 3.05102747e+11 | 1.1059         | False
73  | 0.310      | 2.87839308e+08 | 3.61447878e+08 | 1.2557         | False
74  | 0.330      | 1.69495644e+09 | 1.47688850e+09 | 0.8713         | True
75  | 1.180      | 2.44610933e+16 | 2.52283508e+15 | 0.1031         | True
76  | 0.540      | 1.90711955e+11 | 1.75427442e+11 | 0.9199         | True
77  | 0.260      | 6.71904610e+07 | 9.32872577e+07 | 1.3884         | False
78  | 0.080      | 15718.7585     | 24793.2090     | 1.5773         | False
79  | 0.400      | 4.21932079e+09 | 4.82197703e+09 | 1.1428         | False
80  | 0.410      | 1.25305163e+10 | 1.12382985e+10 | 0.8969         | True
81  | 0.580      | 1.38985499e+12 | 5.71970424e+11 | 0.4115         | True
82  | 0.970      | 4.66747814e+15 | 4.51199071e+15 | 0.9667         | True
83  | 0.830      | 1.59910707e+14 | 4.91382628e+13 | 0.3073         | True
84  | 0.470      | 4.62086821e+10 | 5.95576546e+10 | 1.2889         | False
85  | 0.100      | 53516.7985     | 86964.0183     | 1.6250         | False
86  | 0.760      | 1.05475357e+14 | 3.94831456e+13 | 0.3743         | True
87  | 0.480      | 1.07299686e+11 | 1.08728475e+11 | 1.0133         | False
88  | 1.030      | 3.01188815e+15 | 2.32365837e+15 | 0.7715         | True
89  | 0.430      | 6.01892688e+10 | 7.52657628e+10 | 1.2505         | False
90  | 0.500      | 1.96134118e+11 | 2.10873221e+11 | 1.0751         | False
91  | 0.650      | 3.27446860e+12 | 3.12429507e+12 | 0.9541         | True
92  | 0.170      | 3453695.2732   | 3822086.8095   | 1.1067         | False
93  | 0.670      | 5.31298949e+12 | 4.78598259e+12 | 0.9008         | True
94  | 0.440      | 3.98590153e+10 | 3.60930987e+10 | 0.9055         | True
95  | 0.450      | 9.73174088e+10 | 8.97867121e+10 | 0.9226         | True
96  | 0.230      | 4.62200746e+07 | 5.21355930e+07 | 1.1280         | False
97  | 0.550      | 5.96879722e+11 | 5.07088303e+11 | 0.8496         | True
98  | 0.710      | 4.26606926e+13 | 4.66943423e+13 | 1.0946         | False
99  | 0.570      | 1.49378783e+12 | 1.29058589e+12 | 0.8640         | True
100 | 0.080      | 30080.2282     | 44525.5857     | 1.4802         | False
101 | 0.820      | 5.03838291e+14 | 6.11734700e+14 | 1.2141         | False
102 | 0.490      | 4.29152005e+11 | 4.42758695e+11 | 1.0317         | False
n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=16)
--------------------------------------------------------------------------------
2   | 2.000      | 1.01681814e+09 | 1.74587088e+08 | 0.1717         | True
3   | 2.000      | 2.28633298e+11 | 1.45680526e+09 | 0.0064         | True
4   | 1.240      | 7.35651485e+07 | 3328355.4924   | 0.0452         | True
5   | 0.180      | 634.5621       | 359.8833       | 0.5671         | True
6   | 1.960      | 2.82563595e+12 | 6.34899923e+11 | 0.2247         | True
7   | 0.890      | 2.30295408e+08 | 2.01710428e+08 | 0.8759         | True
8   | 1.860      | 4.96172804e+14 | 3.20378883e+12 | 0.0065         | True
9   | 1.640      | 3.96266685e+13 | 5.59958704e+12 | 0.1413         | True
10  | 1.930      | 2.24785916e+14 | 1.19749109e+14 | 0.5327         | True
11  | 0.240      | 29559.2603     | 26157.0285     | 0.8849         | True
12  | 1.270      | 5.71875442e+12 | 1.68574999e+12 | 0.2948         | True
13  | 1.140      | 9.31533082e+11 | 6.41156644e+10 | 0.0688         | True
14  | 0.950      | 3.08366358e+11 | 6.15415800e+10 | 0.1996         | True
15  | 0.480      | 1.78550485e+08 | 1.96346099e+08 | 1.0997         | False
16  | 0.150      | 12763.1080     | 10841.8676     | 0.8495         | True
17  | 1.180      | 6.02660640e+13 | 1.20739143e+13 | 0.2003         | True
18  | 2.000      | 8.51745212e+16 | 4.26757994e+15 | 0.0501         | True
19  | 0.180      | 76473.6437     | 73871.8844     | 0.9660         | True
20  | 0.250      | 463576.6115    | 431992.1183    | 0.9319         | True
21  | 0.080      | 1091.2568      | 1470.1430      | 1.3472         | False
22  | 0.150      | 17779.5775     | 18123.6466     | 1.0194         | False
23  | 0.660      | 2.69569532e+10 | 2.10345824e+10 | 0.7803         | True
24  | 0.070      | 1220.7794      | 1565.1357      | 1.2821         | False
25  | 0.260      | 3916981.8321   | 3559612.7722   | 0.9088         | True
26  | 0.670      | 1.53183941e+11 | 1.49194194e+11 | 0.9740         | True
27  | 0.100      | 6465.7892      | 6734.5804      | 1.0416         | False
28  | 0.070      | 1194.7935      | 1815.6165      | 1.5196         | False
29  | 0.210      | 698680.1438    | 682421.5170    | 0.9767         | True
30  | 0.980      | 1.36179743e+14 | 3.92290284e+13 | 0.2881         | True
31  | 0.880      | 9.49925370e+12 | 8.76596108e+12 | 0.9228         | True
32  | 0.930      | 6.72287512e+13 | 6.77729075e+13 | 1.0081         | False
33  | 0.720      | 6.47596470e+11 | 6.63305482e+11 | 1.0243         | False
34  | 0.740      | 1.20380719e+12 | 3.27844841e+11 | 0.2723         | True
35  | 1.030      | 7.48523721e+13 | 4.35482526e+13 | 0.5818         | True
36  | 0.880      | 3.01006287e+13 | 3.03701947e+13 | 1.0090         | False
37  | 0.590      | 4.70966029e+10 | 3.44292311e+10 | 0.7310         | True
38  | 0.070      | 2951.3846      | 3877.1536      | 1.3137         | False
39  | 0.140      | 113746.6271    | 108192.4990    | 0.9512         | True
40  | 0.710      | 1.73333910e+12 | 1.62221192e+12 | 0.9359         | True
41  | 0.550      | 6.16071265e+10 | 4.99342065e+10 | 0.8105         | True
42  | 0.690      | 3.35575440e+12 | 2.92177085e+12 | 0.8707         | True
43  | 0.660      | 1.84805772e+12 | 1.76148800e+12 | 0.9532         | True
44  | 0.960      | 4.15257489e+14 | 6.22087043e+13 | 0.1498         | True
45  | 0.830      | 4.72820182e+13 | 3.99237119e+13 | 0.8444         | True
46  | 0.250      | 2.27493092e+07 | 2.03524379e+07 | 0.8946         | True
47  | 0.070      | 4631.0113      | 6218.3052      | 1.3428         | False
48  | 0.620      | 2.10962387e+12 | 6.73270532e+11 | 0.3191         | True
49  | 0.870      | 3.71226003e+14 | 3.82282740e+14 | 1.0298         | False
50  | 0.750      | 6.13062340e+12 | 6.63070812e+12 | 1.0816         | False
51  | 0.600      | 9.73580432e+11 | 1.00977342e+12 | 1.0372         | False
52  | 0.760      | 2.75718589e+13 | 2.23742869e+13 | 0.8115         | True
53  | 0.240      | 2.00226947e+07 | 2.01341257e+07 | 1.0056         | False
54  | 0.470      | 9.78870282e+10 | 1.20355816e+11 | 1.2295         | False
55  | 0.610      | 1.66065795e+12 | 8.82321646e+11 | 0.5313         | True
56  | 0.740      | 6.29674130e+13 | 6.87348606e+13 | 1.0916         | False
57  | 0.630      | 1.01031631e+13 | 5.17113144e+12 | 0.5118         | True
58  | 0.980      | 2.76712605e+15 | 3.08674858e+15 | 1.1155         | False
59  | 0.820      | 1.13376259e+14 | 1.02942832e+14 | 0.9080         | True
60  | 0.460      | 1.23987050e+11 | 8.57622157e+10 | 0.6917         | True
61  | 0.590      | 1.56788117e+12 | 1.27607650e+12 | 0.8139         | True
62  | 0.480      | 1.20386838e+11 | 1.57437128e+11 | 1.3078         | False
63  | 0.790      | 1.05332371e+14 | 1.13187551e+14 | 1.0746         | False
64  | 0.500      | 2.22519236e+11 | 2.21208134e+11 | 0.9941         | True
65  | 0.560      | 9.11698218e+11 | 6.39608177e+11 | 0.7016         | True
66  | 0.650      | 1.81533020e+13 | 2.21317645e+13 | 1.2192         | False
67  | 0.400      | 3.36452305e+10 | 2.73423156e+10 | 0.8127         | True
68  | 0.940      | 1.59167347e+15 | 4.96415372e+14 | 0.3119         | True
69  | 0.660      | 1.04912123e+13 | 1.11492471e+13 | 1.0627         | False
70  | 0.080      | 17599.0647     | 26023.0997     | 1.4787         | False
71  | 0.330      | 1.09007885e+09 | 1.25787329e+09 | 1.1539         | False
72  | 0.590      | 1.70863262e+12 | 1.84227136e+12 | 1.0782         | False
73  | 0.260      | 1.40565398e+08 | 1.76636266e+08 | 1.2566         | False
74  | 0.270      | 6.46913252e+08 | 5.64824665e+08 | 0.8731         | True
75  | 1.240      | 6.03979815e+17 | 4.63832834e+16 | 0.0768         | True
76  | 0.550      | 1.23002406e+12 | 1.11136786e+12 | 0.9035         | True
77  | 0.220      | 3.57139937e+07 | 4.96223181e+07 | 1.3894         | False
78  | 0.070      | 12059.2445     | 19043.3152     | 1.5791         | False
79  | 0.410      | 2.02759768e+10 | 2.27993558e+10 | 1.1245         | False
80  | 0.420      | 6.98961420e+10 | 6.00951806e+10 | 0.8598         | True
81  | 0.590      | 1.00978886e+13 | 3.66862064e+12 | 0.3633         | True
82  | 1.050      | 1.51961232e+17 | 1.45206582e+17 | 0.9556         | True
83  | 0.860      | 2.31524098e+15 | 5.73887029e+14 | 0.2479         | True
84  | 0.480      | 2.65666391e+11 | 3.37158117e+11 | 1.2691         | False
85  | 0.090      | 46655.1898     | 75844.0359     | 1.6256         | False
86  | 0.800      | 1.68725311e+15 | 5.98791222e+14 | 0.3549         | True
87  | 0.490      | 6.84779549e+11 | 6.85510934e+11 | 1.0011         | False
88  | 1.130      | 1.08714209e+17 | 8.07467447e+16 | 0.7427         | True
89  | 0.450      | 5.13236964e+11 | 6.36185628e+11 | 1.2396         | False
90  | 0.510      | 1.32624045e+12 | 1.38159949e+12 | 1.0417         | False
91  | 0.690      | 4.39474837e+13 | 4.04606325e+13 | 0.9207         | True
92  | 0.150      | 2657415.3868   | 2948661.1452   | 1.1096         | False
93  | 0.700      | 5.72149048e+13 | 4.96965787e+13 | 0.8686         | True
94  | 0.440      | 1.78036432e+11 | 1.57373128e+11 | 0.8839         | True
95  | 0.430      | 2.58307112e+11 | 2.37754484e+11 | 0.9204         | True
96  | 0.200      | 3.17363124e+07 | 3.58364795e+07 | 1.1292         | False
97  | 0.530      | 2.04805888e+12 | 1.72349257e+12 | 0.8415         | True
98  | 0.720      | 3.84404431e+14 | 4.13614266e+14 | 1.0760         | False
99  | 0.590      | 1.32093573e+13 | 1.07666308e+13 | 0.8151         | True
100 | 0.070      | 22726.4506     | 33691.6579     | 1.4825         | False
101 | 0.930      | 2.82556178e+16 | 3.37581635e+16 | 1.1947         | False
102 | 0.500      | 2.99329166e+12 | 3.01948426e+12 | 1.0088         | False
n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=17)
--------------------------------------------------------------------------------
2   | 2.000      | 3.59826561e+09 | 5.73265656e+08 | 0.1593         | True
3   | 2.000      | 1.17437935e+12 | 5.31505148e+09 | 0.0045         | True
4   | 1.260      | 2.80223073e+08 | 9523982.3303   | 0.0340         | True
5   | 0.170      | 670.2008       | 380.8874       | 0.5683         | True
6   | 2.000      | 2.17408989e+13 | 4.48237346e+12 | 0.2062         | True
7   | 0.940      | 1.34454309e+09 | 1.16914768e+09 | 0.8696         | True
8   | 1.850      | 3.79955068e+15 | 1.64973037e+13 | 0.0043         | True
9   | 1.720      | 5.41367278e+14 | 6.76331667e+13 | 0.1249         | True
10  | 2.000      | 3.26605585e+15 | 1.50369353e+15 | 0.4604         | True
11  | 0.220      | 27945.9414     | 24750.4491     | 0.8857         | True
12  | 1.320      | 6.32152970e+13 | 1.54613026e+13 | 0.2446         | True
13  | 1.170      | 7.46815220e+12 | 4.26427661e+11 | 0.0571         | True
14  | 0.960      | 1.77203923e+12 | 3.18155972e+11 | 0.1795         | True
15  | 0.410      | 9.42981418e+07 | 1.03714127e+08 | 1.0999         | False
16  | 0.140      | 13321.0651     | 11327.4168     | 0.8503         | True
17  | 1.220      | 6.81745646e+14 | 1.20846048e+14 | 0.1773         | True
18  | 2.000      | 9.74589781e+17 | 3.69303944e+16 | 0.0379         | True
19  | 0.160      | 58369.4443     | 56415.8076     | 0.9665         | True
20  | 0.230      | 462542.0491    | 431320.6594    | 0.9325         | True
21  | 0.070      | 877.4648       | 1183.0779      | 1.3483         | False
22  | 0.140      | 18394.0767     | 18761.6513     | 1.0200         | False
23  | 0.680      | 1.63598962e+11 | 1.26363185e+11 | 0.7724         | True
24  | 0.070      | 1577.0987      | 2025.6598      | 1.2844         | False
25  | 0.230      | 2874783.5604   | 2614309.0712   | 0.9094         | True
26  | 0.670      | 7.09592235e+11 | 6.90620175e+11 | 0.9733         | True
27  | 0.090      | 5495.2338      | 5732.7038      | 1.0432         | False
28  | 0.070      | 1488.2139      | 2262.2023      | 1.5201         | False
29  | 0.190      | 617515.0112    | 603553.4689    | 0.9774         | True
30  | 0.990      | 1.15058191e+15 | 3.15063961e+14 | 0.2738         | True
31  | 0.870      | 4.78159300e+13 | 4.40497276e+13 | 0.9212         | True
32  | 0.990      | 1.21111493e+15 | 1.21846369e+15 | 1.0061         | False
33  | 0.730      | 4.02937601e+12 | 4.11157447e+12 | 1.0204         | False
34  | 0.760      | 9.23094213e+12 | 2.31614508e+12 | 0.2509         | True
35  | 1.130      | 2.44952384e+15 | 1.17963867e+15 | 0.4816         | True
36  | 0.900      | 2.89450718e+14 | 2.91140663e+14 | 1.0058         | False
37  | 0.610      | 3.03598015e+11 | 2.09730228e+11 | 0.6908         | True
38  | 0.070      | 3960.3666      | 5209.1280      | 1.3153         | False
39  | 0.130      | 117847.9515    | 112275.5113    | 0.9527         | True
40  | 0.680      | 5.16043958e+12 | 4.82488618e+12 | 0.9350         | True
41  | 0.560      | 3.31445634e+11 | 2.62768738e+11 | 0.7928         | True
42  | 0.720      | 3.40748608e+13 | 2.90676762e+13 | 0.8531         | True
43  | 0.660      | 1.00440062e+13 | 9.54976528e+12 | 0.9508         | True
44  | 0.990      | 5.28408351e+15 | 6.20970794e+14 | 0.1175         | True
45  | 0.870      | 6.09967009e+14 | 5.06369450e+14 | 0.8302         | True
46  | 0.220      | 1.62342070e+07 | 1.45495913e+07 | 0.8962         | True
47  | 0.060      | 3259.2622      | 4385.4943      | 1.3455         | False
48  | 0.640      | 1.76686320e+13 | 5.21693388e+12 | 0.2953         | True
49  | 0.960      | 1.28423623e+16 | 1.31774314e+16 | 1.0261         | False
50  | 0.770      | 5.01712430e+13 | 5.32246320e+13 | 1.0609         | False
51  | 0.620      | 8.09964665e+12 | 8.33747315e+12 | 1.0294         | False
52  | 0.770      | 2.15661032e+14 | 1.72761854e+14 | 0.8011         | True
53  | 0.210      | 1.33311400e+07 | 1.34145130e+07 | 1.0063         | False
54  | 0.510      | 1.29825357e+12 | 1.59282289e+12 | 1.2269         | False
55  | 0.620      | 1.14863249e+13 | 5.46830017e+12 | 0.4761         | True
56  | 0.780      | 9.21163517e+14 | 9.92853914e+14 | 1.0778         | False
57  | 0.640      | 7.68561989e+13 | 3.89356220e+13 | 0.5066         | True
58  | 1.040      | 5.88707011e+16 | 6.47594475e+16 | 1.1000         | False
59  | 0.870      | 1.92680942e+15 | 1.64707857e+15 | 0.8548         | True
60  | 0.400      | 9.12526202e+10 | 6.31432424e+10 | 0.6920         | True
61  | 0.600      | 1.06548622e+13 | 8.55404559e+12 | 0.8028         | True
62  | 0.420      | 9.40478659e+10 | 1.23026660e+11 | 1.3081         | False
63  | 0.820      | 1.25544901e+15 | 1.33853620e+15 | 1.0662         | False
64  | 0.440      | 1.93132460e+11 | 1.92016523e+11 | 0.9942         | True
65  | 0.570      | 5.87257282e+12 | 3.96498127e+12 | 0.6752         | True
66  | 0.680      | 2.11941062e+14 | 2.56226081e+14 | 1.2089         | False
67  | 0.330      | 1.24807509e+10 | 1.01623755e+10 | 0.8142         | True
68  | 0.980      | 2.51574095e+16 | 6.79153788e+15 | 0.2700         | True
69  | 0.700      | 1.40625334e+14 | 1.48806445e+14 | 1.0582         | False
70  | 0.080      | 25880.6506     | 38304.0521     | 1.4800         | False
71  | 0.300      | 1.14870150e+09 | 1.32574475e+09 | 1.1541         | False
72  | 0.600      | 1.09043435e+13 | 1.14937747e+13 | 1.0541         | False
73  | 0.220      | 6.73238516e+07 | 8.46563360e+07 | 1.2574         | False
74  | 0.230      | 3.35398151e+08 | 2.93368090e+08 | 0.8747         | True
75  | 1.300      | 1.59248608e+19 | 9.08613934e+17 | 0.0571         | True
76  | 0.550      | 6.43175373e+12 | 5.72913885e+12 | 0.8908         | True
77  | 0.190      | 2.10057874e+07 | 2.92062251e+07 | 1.3904         | False
78  | 0.070      | 17298.7358     | 27358.3444     | 1.5815         | False
79  | 0.420      | 1.01261837e+11 | 1.12063493e+11 | 1.1067         | False
80  | 0.430      | 4.05962724e+11 | 3.34813060e+11 | 0.8247         | True
81  | 0.600      | 7.58145808e+13 | 2.43844600e+13 | 0.3216         | True
82  | 1.120      | 4.60869477e+18 | 4.36166236e+18 | 0.9464         | True
83  | 0.890      | 3.55767101e+16 | 7.11544498e+15 | 0.2000         | True
84  | 0.490      | 1.58507198e+12 | 1.98387948e+12 | 1.2516         | False
85  | 0.080      | 36647.4358     | 59595.2936     | 1.6262         | False
86  | 0.850      | 3.43172280e+16 | 1.15890569e+16 | 0.3377         | True
87  | 0.490      | 3.44715770e+12 | 3.42082196e+12 | 0.9924         | True
88  | 1.230      | 4.18831536e+18 | 2.99463577e+18 | 0.7150         | True
89  | 0.470      | 4.65931737e+12 | 5.72622226e+12 | 1.2290         | False
90  | 0.520      | 9.37149885e+12 | 9.51146985e+12 | 1.0149         | False
91  | 0.720      | 5.20592071e+14 | 4.62231875e+14 | 0.8879         | True
92  | 0.130      | 1635751.1924   | 1819422.4923   | 1.1123         | False
93  | 0.730      | 6.54301054e+14 | 5.48906060e+14 | 0.8389         | True
94  | 0.440      | 8.03258386e+11 | 6.96407073e+11 | 0.8670         | True
95  | 0.400      | 4.53783249e+11 | 4.17415412e+11 | 0.9199         | True
96  | 0.170      | 1.60652291e+07 | 1.81586528e+07 | 1.1303         | False
97  | 0.490      | 3.80579244e+12 | 3.19524025e+12 | 0.8396         | True
98  | 0.740      | 4.36873748e+15 | 4.63437347e+15 | 1.0608         | False
99  | 0.610      | 1.23013538e+14 | 9.44546380e+13 | 0.7678         | True
100 | 0.070      | 33842.9191     | 50273.9104     | 1.4855         | False
101 | 1.060      | 2.23946546e+18 | 2.63049206e+18 | 1.1746         | False
102 | 0.510      | 2.16676678e+13 | 2.14637189e+13 | 0.9906         | True
n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=18)
--------------------------------------------------------------------------------
2   | 2.000      | 1.27494696e+10 | 1.88252199e+09 | 0.1477         | True
3   | 2.000      | 6.03583885e+12 | 1.94635971e+10 | 0.0032         | True
4   | 1.270      | 9.96558013e+08 | 2.52367515e+07 | 0.0253         | True
5   | 0.150      | 525.4767       | 299.1387       | 0.5693         | True
6   | 2.000      | 1.28294006e+14 | 2.43372472e+13 | 0.1897         | True
7   | 0.980      | 7.30562445e+09 | 6.29657172e+09 | 0.8619         | True
8   | 1.850      | 3.14294837e+16 | 9.17328153e+13 | 0.0029         | True
9   | 1.790      | 7.17210622e+15 | 7.92311640e+14 | 0.1105         | True
10  | 2.000      | 2.94566397e+16 | 1.14697921e+16 | 0.3894         | True
11  | 0.200      | 24018.9544     | 21289.2887     | 0.8864         | True
12  | 1.360      | 6.63160082e+14 | 1.33181416e+14 | 0.2008         | True
13  | 1.200      | 6.22195787e+13 | 2.96955964e+12 | 0.0477         | True
14  | 0.980      | 1.20422745e+13 | 1.94640066e+12 | 0.1616         | True
15  | 0.350      | 4.47586519e+07 | 4.92353303e+07 | 1.1000         | False
16  | 0.120      | 8102.4085      | 6895.8496      | 0.8511         | True
17  | 1.260      | 8.08707815e+15 | 1.27134251e+15 | 0.1572         | True
18  | 2.000      | 1.11890884e+19 | 3.23202743e+17 | 0.0289         | True
19  | 0.150      | 62420.7829     | 60360.8419     | 0.9670         | True
20  | 0.200      | 279857.3445    | 261124.7544    | 0.9331         | True
21  | 0.070      | 1092.9803      | 1474.5406      | 1.3491         | False
22  | 0.130      | 17947.7886     | 18316.7473     | 1.0206         | False
23  | 0.700      | 1.03565940e+12 | 7.92846358e+11 | 0.7655         | True
24  | 0.060      | 1137.3881      | 1461.1342      | 1.2846         | False
25  | 0.200      | 1684768.7965   | 1533034.0119   | 0.9099         | True
26  | 0.680      | 4.06996202e+12 | 3.95924085e+12 | 0.9728         | True
27  | 0.090      | 7848.2510      | 8200.0336      | 1.0448         | False
28  | 0.060      | 1114.3419      | 1694.8940      | 1.5210         | False
29  | 0.170      | 469056.9439    | 458727.3614    | 0.9780         | True
30  | 0.990      | 8.48644422e+15 | 2.23851455e+15 | 0.2638         | True
31  | 0.830      | 1.39592383e+14 | 1.28502354e+14 | 0.9206         | True
32  | 1.040      | 2.00449195e+16 | 2.01342619e+16 | 1.0045         | False
33  | 0.740      | 2.57599467e+13 | 2.62140987e+13 | 1.0176         | False
34  | 0.760      | 5.04023929e+13 | 1.18133652e+13 | 0.2344         | True
35  | 1.220      | 7.76544319e+16 | 2.99166672e+16 | 0.3853         | True
36  | 0.910      | 2.45538068e+15 | 2.46436740e+15 | 1.0037         | False
37  | 0.620      | 1.64574884e+12 | 1.07203323e+12 | 0.6514         | True
38  | 0.060      | 2746.8995      | 3619.4033      | 1.3176         | False
39  | 0.120      | 112624.4618    | 107462.3381    | 0.9542         | True
40  | 0.620      | 7.13706133e+12 | 6.67221064e+12 | 0.9349         | True
41  | 0.570      | 1.83686940e+12 | 1.42809257e+12 | 0.7775         | True
